PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0237,04/28/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,32,14,7 feet to 10 feet,Male,Black,29,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0239,04/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Hands,L1,Unknown Drugs,Yes,Black,Male,36,17,1 feet to 3 feet,Male,White,31,Medium,5'10'' to 6'0'',No,No,Yes,,Escape,No
FTN2016-0240,04/30/2016,FOB - Field Operations Bureau,2nd District,D.I.U.,Staff,,,Completed,Use Of Force Authorized,Arresting,Poor,Rainy Conditions - Heavy,CEW Exhibited/Laser,L1,Alchohol,Yes,Black,Male,50,23,1 feet to 3 feet,Male,White,23,Large,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0251,04/30/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,CEW Exhibited/Laser | Force (Take Down),L1 | L2,None detected,No | Yes,Black | White,Male | Male,28 | ,7 | 7,1 feet to 3 feet,Male,Black,26,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,Yes | Yes
FTN2016-0242,05/02/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,32,6,1 feet to 3 feet,Male,Black,17,Large,5'10'' to 6'0'',Yes,No,Yes,,Escape,No
FTN2016-0243,05/02/2016,FOB - Field Operations Bureau,8th District,Day Beats,,,,Completed,Use Of Force Authorized,Arresting,Good,Other,CEW Deployment | Hands,L2 | L1,Alchohol and unknown drugs,Yes | Yes,Black | Black,Female | Male,33 | 45,12 | 16,1 feet to 3 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0244,05/02/2016,FOB - Field Operations Bureau,8th District,8th District,Patrol,Paid Detail,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Other,L2,Alchohol,Yes,White,Male,35,13,1 feet to 3 feet,Male,Black,32,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0247,05/03/2016,FOB - Field Operations Bureau,3rd District,Detailed/Other,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | CEW Deployment,L1 | L2,Mentally unstable,No | Yes,Black | Black,Male | Male,35 | 35,12 | 12,1 feet to 3 feet,Male,Black,22,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0248,05/03/2016,FOB - Field Operations Bureau,5th District,A Platoon,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,38,13,11 feet to 14 feet,Male,Black,38,Medium,5'10'' to 6'0'',No,No,No,,Other,No
FTN2016-0249,05/03/2016,FOB - Field Operations Bureau,1st District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,36,17,4 feet to 6 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0246,05/03/2016,FOB - Field Operations Bureau,8th District,C Platoon,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown Drugs,Yes,Hispanic,Male,36,9,7 feet to 10 feet,Male,Black,24,Small,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0252,05/04/2016,FOB - Field Operations Bureau,8th District,D.I.U.,Property,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Other,L1 | L2,Alchohol and unknown drugs,Yes | Yes,White | White,Female | Female,41 | 41,19 | 19,0 feet to 1 feet,Male,White,24,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0254,05/05/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Deployment,L2,Unknown,No,Black,Male,28,8,1 feet to 3 feet,Male,Black,17,Large,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Officer w/Weapon,No
FTN2016-0255,05/06/2016,FOB - Field Operations Bureau,2nd District,Narcotics,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,Unknown | Unknown | Unknown,Yes | Yes,Black | Black,Male | Male,34 | 30,12 | 8,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male,Black | Black | Black,22 | 28 | 26,Small | Small | Small,6'1'' to 6'3'' | 6'1'' to 6'3'' | 6'1'' to 6'3'',No | No | No,No | No | No,No | No | No,,Escape,No | No
FTN2016-0258,05/07/2016,FOB - Field Operations Bureau,5th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,47,12,11 feet to 14 feet,Male,Black,24,Small,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No
FTN2016-0257,05/07/2016,FOB - Field Operations Bureau,2nd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected | None detected,Yes,Black,Male,46,24,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,White | White,20 | 21,Small | Small,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Other,No
FTN2016-0259,05/08/2016,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,Alchohol and unknown drugs,Yes,Black,Male,31,6,11 feet to 14 feet,Male,White,32,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,refuse verbal commands,No
FTN2016-0261,05/08/2016,FOB - Field Operations Bureau,3rd District,A Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,L1,Unknown,Yes,Black,Male,32,15,1 feet to 3 feet,Male,Black,32,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0262,05/08/2016,FOB - Field Operations Bureau,3rd District,A Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,Unknown,Yes | Yes,Hispanic | White,Male | Female,51 | 37,14 | 6,0 feet to 1 feet,Male,Black,27,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,Escape,No | No
FTN2016-0260,05/08/2016,FOB - Field Operations Bureau,8th District,Mounted,,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,Black,Male,50,22,0 feet to 1 feet,Male,Black,50,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0265,05/10/2016,FOB - Field Operations Bureau,2nd District,Narcotics,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,None detected,Yes | Yes,Black | Black,Male | Male,27 | 27,8 | 8,0 feet to 1 feet,Male,Black,23,Medium,6'1'' to 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0264,05/10/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,36,15,1 feet to 3 feet,Male,Black,22,Medium,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No
FTN2016-0266,05/11/2016,FOB - Field Operations Bureau,1st District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down),L2,Unknown Drugs,Yes,Black,Male,38,13,7 feet to 10 feet,Male,Black,26,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0268,05/13/2016,FOB - Field Operations Bureau,3rd District,A Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,White | Black | White | White | White,Male | Male | Male | Male | Male,34 | 32 | 32 | 50 | 60,16 | 16 | 16 | 19 | 18,4 feet to 6 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Officer w/Weapon,No | No | No | No | No
FTN2016-0269,05/13/2016,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW,L4,None detected,No,White,Male,37,9,1 feet to 3 feet,Male,Black,24,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,Escape,No
FTN2016-0270,05/14/2016,FOB - Field Operations Bureau,1st District,Staff,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Canine (Bite),L4,Unknown | Unknown | Unknown | Unknown | Unknown,Yes,Black,Male,58,4,11 feet to 14 feet | 11 feet to 14 feet | 11 feet to 14 feet | 11 feet to 14 feet | 11 feet to 14 feet,Male | Male | Female | Female | Female,Black | Black | Black | Black | Black,25 | 16 | 15 | 15 | 15,Medium | Medium | Medium | Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',Yes | Yes | Yes | Yes | Yes,Yes | Yes | Yes | Yes | Yes,Yes | Yes | Yes | Yes | Yes,,Resisting Lawful Arrest,No
FTN2016-0274,05/15/2016,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,None detected,Yes | Yes,White | Black,Male | Male,38 | 27,7 | 7,0 feet to 1 feet,Male,Black,54,Medium,5'7'' to 5'9'',No,Yes,Yes,,Escape,No | No
FTN2016-0271,05/15/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected | None detected | None detected | None detected,Yes | Yes,White | White,Male | Male,44 | 42,24 | 24,7 feet to 10 feet | 7 feet to 10 feet | 7 feet to 10 feet | 7 feet to 10 feet,Male | Male | Male | Male,Black | Black | Black | Black,19 | 16 | 31 | 17,Medium | Medium | Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No | No,No | No | No | No,No | No | No | No,,Other,No | No
FTN2016-0273,05/16/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Canine (No Bite),L1,None detected,Yes,White,Male,36,13,22 feet to 25 feet,Male,Black,21,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0272,05/16/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Escort Tech),L2 | L1,Mentally unstable,Yes | Yes,Black | Black,Male | Male,47 | 54,12 | 1,1 feet to 3 feet,Male,Black,29,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,refuse verbal commands,No | No
FTN2016-0276,05/17/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Pending,Arresting,Good,Clear Conditions,Other,L2,Alchohol and unknown drugs,Yes,Black,Male,29,13,0 feet to 1 feet,Male,Black,37,Large,6'1'' to 6'3'',No,Yes,Yes,,Battery on Police Officer,Yes
FTN2016-0277,05/19/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Female,37,17,0 feet to 1 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,No,,Battery on Police Officer,Yes
FTN2016-0281,05/20/2016,FOB - Field Operations Bureau,3rd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Exhibited/Laser,L1,Alchohol and unknown drugs,Yes,White,Female,41,13,1 feet to 3 feet,Male,Black,32,Medium,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0280,05/20/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser | Other,L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,39 | 31,14 | 8,0 feet to 1 feet,Male,Black,15,Medium,5'7'' to 5'9'',No,Yes,Yes,,Escape,No | No
FTN2016-0278,05/20/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,Unknown,Yes | Yes,Black | Black,Male | Male,33 | 33,9 | 9,0 feet to 1 feet,Male,Black,29,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0284,05/23/2016,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Force (Escort Tech),L1,Unknown,Yes,White,Male,29,7,0 feet to 1 feet,Male,Black,52,Large,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0283,05/23/2016,FOB - Field Operations Bureau,3rd District,A Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,Unknown | Unknown,Yes | Yes,Black | Hispanic,Male | Male,39 | 51,12 | 14,0 feet to 1 feet | 0 feet to 1 feet,Female | Female, | Black,22 | 31,Small | Small,5'0'' to 5'3'' | 5'0'' to 5'3'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No
FTN2016-0285,05/25/2016,FOB - Field Operations Bureau,2nd District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Deployment,L2,Unknown,Yes,White,Male,50,14,0 feet to 1 feet,Male,Black,,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes
FTN2016-0286,05/26/2016,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,Mentally unstable,Yes | Yes,White | White,Male | Male,43 | 33,13 | 7,1 feet to 3 feet,Female,Black,32,Medium,5'0'' to 5'3'',No,Yes,No,,refuse verbal commands,No | No
FTN2016-0287,05/27/2016,FOB - Field Operations Bureau,8th District,8th District,,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,Unknown Drugs,Yes | Yes,Hispanic | Black,Male | Male,27 | 27,9 | 8,0 feet to 1 feet,Male,Black,22,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,No | No
FTN2016-0289,05/27/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,,,Completed,Use Of Force Authorized,Other,,Clear Conditions,Force (Take Down) | Force (Take Down) | Force (Take Down),L2 | L2 | L2,Mentally unstable,Yes | Yes | Yes,Black | White | Black,Male | Male | Male,44 | 40 | 38,22 | 6 | 6,0 feet to 1 feet,Male,White,20,Medium,5'7'' to 5'9'',No,Yes,No,,Other,No | No | No
FTN2016-0288,05/27/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected | None detected | None detected | None detected,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,39 | 39 | 47,18 | 19 | 24,19 feet to 21 feet | 19 feet to 21 feet | 19 feet to 21 feet | 19 feet to 21 feet,Male | Female | Female | Male,Black | Black | Black | Black,16 | 43 | 21 | 23,Medium | Medium | Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'' | 5'7'' to 5'9'' | 5'7'' to 5'9'',No | No | No | No,No | No | No | No,No | No | No | No,,Other,No | No | No
FTN2016-0292,05/29/2016,FOB - Field Operations Bureau,3rd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Force (Escort Tech),L1,Alchohol,Yes,Black,Male,36,16,0 feet to 1 feet,Female,Black,26,Small,5'0'' to 5'3'',No,No,Yes,,Battery on Police Officer,Yes
FTN2016-0291,05/29/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,White | Black,Female | Male,32 | 38,6 | 6,1 feet to 3 feet,Male,Black,31,Small,5'0'' to 5'3'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0293,06/01/2016,FOB - Field Operations Bureau,Special Operations Division,,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,White | Black,Male | Male,38 | 47,14 | 24,7 feet to 10 feet,Male,Black,20,Medium,6'1'' to 6'3'',No,No,No,,Resisting Lawful Arrest,No | No
FTN2016-0295,06/02/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Canine (No Bite),L1,None detected,Yes,Black,Male,58,4,15 feet to 18 feet,Male,Black,15,Medium,5'4'' to 5'6'',No,Yes,Yes,,Resisting Officer w/Weapon,No
FTN2016-0296,06/05/2016,FOB - Field Operations Bureau,Reserve Division,,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Head Strike (No Wep),L3,Unknown,Yes,Hispanic,Male,55,24,0 feet to 1 feet,Male,Black,,Medium,5'4'' to 5'6'',No,No,Yes,,Battery on Police Officer,No
FTN2016-0297,06/06/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,Unknown,Yes | Yes | Yes,White | Black | Black,Male | Female | Male,32 | 34 | 26,16 | 18 | 6,0 feet to 1 feet,Male,White,31,XLarge,> 6'3'',No,No,Yes,,Escape,No | No | No
FTN2016-0300,06/07/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,36,7,1 feet to 3 feet,Male,Black,34,Large,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0301,06/07/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Suspended,Pending,Arresting,Good,Clear Conditions,Hands | Hands | Force (Take Down) | Hands,L1 | L1 | L2 | L1,None detected,Yes | Yes | Yes | Yes,White | Black | Black | White,Male | Male | Male | Male,29 | 27 | 27 | 28,6 | 8 | 8 | 7,0 feet to 1 feet,Male,Black,34,XLarge,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No | No | No | No
FTN2016-0298,06/07/2016,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,Unknown Drugs,Yes | Yes | Yes,Black | White | Black,Female | Male | Male,34 | 30 | 28,18 | 6 | 7,1 feet to 3 feet,Female,Black,31,Small,5'0'' to 5'3'',No,No,Yes,,refuse verbal commands,No | No | No
FTN2016-0299,06/07/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Alchohol,Yes,White,Male,32,16,1 feet to 3 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0302,06/08/2016,FOB - Field Operations Bureau,3rd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Hands | Hands | Hands,L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes,White | White | White | White,Male | Male | Male | Male,45 | 52 | 45 | 31,16 | 36 | 23 | 6,0 feet to 1 feet,Male,W,30,Medium,5'10'' to 6'0'',No,No,No,,refuse verbal commands,No | No | No | No
FTN2016-0303,06/10/2016,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,None detected,No | Yes,Black | Black,Male | Male,36 | 36,16 | 16,0 feet to 1 feet,Male,Black,17,Small,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes | Yes
FTN2016-0305,06/10/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,None detected,Yes,Black,Male,43,7,15 feet to 18 feet,Female,Black,,Medium,5'0'' to 5'3'',No,Yes,No,,refuse verbal commands,No
FTN2016-0304,06/10/2016,FOB - Field Operations Bureau,8th District,Mounted,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,Alchohol,Yes,White,Male,35,13,7 feet to 10 feet,Male,Black,49,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0307,06/11/2016,FOB - Field Operations Bureau,6th District,Task Force,B,,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,35,9,7 feet to 10 feet,Male,Black,37,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
